2, x=-1.59386390011642, y=9.03712415066991
e8_0, x=1.73946949767451, y=9.03712415066991
e8_1, x=5.07280289546544, y=9.03712415066991
e8_2, x=8.40613629325637, y=9.03712415066991
e8_3, x=11.7394696910473, y=9.03712415066991
e8_4, x=15.0728030888382, y=9.03712415066991
6, x=18.4061364866292, y=9.03712415066991
e9_0, x=18.4061364866291, y=5.70379079262162
e9_1, x=18.4061364866292, y=2.37045743457333
e9_2, x=18.4061364866292, y=-0.962875923474956
e9_3, x=18.4061364866292, y=-4.29620928152324
e9_4, x=18.4061364866292, y=-7.62954263957153
e9_5, x=18.4061364866292, y=-10.9628759976198
e9_6, x=18.4061364866292, y=-14.2962093556681
e9_7, x=18.4061364866292, y=-17.6295427137164
5, x=18.4061364866292, y=-20.9628760717647
e7_0, x=15.0728030888382, y=-20.9628760717647
e7_1, x=11.7394696910473, y=-20.9628760717647
e7_2, x=8.40613629325637, y=-20.9628760717647
e7_3, x=5.07280289546544, y=-20.9628760717647
e7_4, x=1.73946949767451, y=-20.9628760717647
4, x=-1.59386390011642, y=-20.9628760717647
e6_0, x=-1.59386390011642, y=-17.6295427137164
e6_1, x=-1.59386390011642, y=-14.2962093556681
e6_2, x=-1.59386390011642, y=-10.9628759976198
e6_3, x=-1.59386390011642, y=-7.62954263957153
e6_4, x=-1.59386390011642, y=-4.29620928152324
e6_5, x=-1.59386390011642, y=-0.962875923474958
e6_6, x=-1.59386390011642, y=2.37045743457333
e6_7, x=-1.59386390011642, y=5.70379079262162
8, x=15.6497120699614, y=-5.33159186943867
e11_0, x=13.9817829243054, y=-9.49065784928343
e11_1, x=12.3478183760682, y=-11.5701908392058
e11_2, x=10.7478184252497, y=-11.5701908392058
e11_3, x=9.18178307184998, y=-9.49065784928343
7, x=7.64971231586899, y=-5.33159186943867
e10_0, x=8.44814918034579, y=-1.87034066512357
e10_1, x=11.649712349923, y=-0.331589412039423
e10_2, x=14.8512754016485, y=-1.87034091032858
10, x=13.8836298747204, y=5.62309097614107
e13_0, x=11.5836294460616, y=3.52780522688642
9, x=9.28363007334665, y=5.62309097614107
e12_0, x=11.5836293574176, y=8.14780555987883
END
